k,depth,batch,seq,weight_bytes,oom,kv_predicted_bytes,kv_measured_over_predicted,latency_ms,latency_ms_mean,latency_ms_min,latency_ms_max,spread_pct,peak_bytes,peak_bytes_min,kv_bytes,throughput_tok_s,samples
5,16,2,512,1450240,False,8388608,1.0,27.89968749993932,27.879191799911496,27.27329200024542,28.799624999919615,5.470788874167553,0,0,8388608,36702.92005966831,10
3,12,2,512,1450240,False,6291456,1.0,21.422583499770553,21.540325099977053,20.74820899997576,22.215042000425456,6.847134009142301,0,0,6291456,47800.02374648079,10
2,10,2,512,1450240,False,5242880,1.0,17.8482500004975,17.93284159994073,17.420374999346677,18.603333000100974,6.627865481048974,0,0,5242880,57372.57153902803,10
1,8,2,512,1450240,False,4194304,1.0,13.924124500135804,13.911620499857236,13.364292000005662,14.892707999933918,10.976747585913568,0,0,4194304,73541.42804382514,10
8,22,2,512,1450240,False,11534336,1.0,39.42312499975742,39.38974999982747,38.239916999373236,40.63783399942622,6.082513753203836,0,0,11534336,25974.602470156817,10
4,14,2,512,1450240,False,7340032,1.0,24.838396000177454,25.90559589989425,23.97449999989476,36.17012499944394,49.099889539815905,0,0,7340032,41226.494657412026,10
