k,depth,batch,seq,oom,residual_bytes,step_time_ms,peak_bytes,steps,forward_ms,backward_ms,optimizer_ms,weight_bytes,grad_bytes,logits_bytes,optimizer_bytes
5,32,4,2048,False,43910617588,994.1796130035073,57434119168,20,267.80753023922443,670.7498095929623,61.2857099622488,2969833472,2969833472,1644167168,5939667468
3,24,4,2048,False,33876691444,775.79674446024,47400193024,20,205.2748305723071,514.1100902110338,60.51485985517502,2969833472,2969833472,1644167168,5939667468
2,20,4,2048,False,28859728372,665.4049875214696,42383229952,20,173.8251904025674,434.9657101556659,60.19014026969671,2969833472,2969833472,1644167168,5939667468
1,16,4,2048,False,23842765300,555.2585844881833,37366266880,20,142.57265999913216,356.334799900651,60.47153007239103,2969833472,2969833472,1644167168,5939667468
8,44,4,2048,True,,,,,,,,,,,
4,28,4,2048,False,38893654516,884.8309089895338,52417156096,20,236.64180003106594,592.1777198091149,60.57886965572834,2969833472,2969833472,1644167168,5939667468
