k,depth,batch,seq,oom,residual_bytes,step_time_ms,peak_bytes,steps,weight_bytes,grad_bytes,logits_bytes,optimizer_bytes
5,16,2,256,False,-6325516,43.162991699955455,0,10,1450240,1450240,524288,2900748
3,12,2,256,False,-6325516,34.36307499996474,0,10,1450240,1450240,524288,2900748
2,10,2,256,False,-6325516,29.387225000027684,0,10,1450240,1450240,524288,2900748
1,8,2,256,False,-6325516,24.027912499968807,0,10,1450240,1450240,524288,2900748
8,22,2,256,False,-6325516,58.349441700011084,0,10,1450240,1450240,524288,2900748
4,14,2,256,False,-6325516,38.03067919998284,0,10,1450240,1450240,524288,2900748
