k,depth,batch,seq,weight_bytes,oom,kv_predicted_bytes,kv_measured_over_predicted,latency_ms,latency_ms_mean,latency_ms_min,latency_ms_max,spread_pct,peak_bytes,peak_bytes_min,kv_bytes,throughput_tok_s,samples
5,32,8,4096,2969833472,False,8589934592,1.0,1243.5640105977654,1243.6236499808729,1243.0647695437074,1244.6369994431734,0.12642935032433808,23270632448,23270632448,8589934592,26350.071022278007,20
3,24,8,4096,2969833472,False,6442450944,1.0,931.301059667021,931.3414968084544,930.5354794487357,932.074910029769,0.16529891865296925,18975656960,18975656960,6442450944,35185.18491938141,20
2,20,8,4096,2969833472,False,5368709120,1.0,778.8536348380148,778.9223595056683,778.3479699864984,779.7015001997352,0.1737849260366249,16828169216,16828169216,5368709120,42072.089715309674,20
1,16,8,4096,2969833472,False,4294967296,1.0,622.5808202289045,622.6100200787187,622.1435703337193,622.9377705603838,0.1275658036449853,14680681472,14680681472,4294967296,52632.524060012285,20
8,44,8,4096,2969833472,False,11811160064,1.0,1709.7184201702476,1709.7688289359212,1708.7199902161956,1711.151230148971,0.1422011896282549,29713095680,29713095680,11811160064,19165.72905422466,20
4,28,8,4096,2969833472,False,7516192768,1.0,1090.0632203556597,1090.0990275666118,1089.3415603786707,1091.1521399393678,0.16609858280571405,21123144704,21123144704,7516192768,30060.641794068273,20
