k,depth,batch,seq,oom,residual_bytes,step_time_ms,peak_bytes,steps,forward_ms,backward_ms,optimizer_ms,weight_bytes,grad_bytes,logits_bytes,optimizer_bytes
5,16,2,256,False,-6325516,42.82777099979285,0,2,15.42479199997615,23.610542000824353,2.7214159999857657,1450240,1450240,524288,2900748
3,12,2,256,False,-6325516,32.83245849979721,0,2,12.013666000711964,17.538416999741457,2.568042000348214,1450240,1450240,524288,2900748
2,10,2,256,False,-6325516,28.422166999916954,0,2,9.689167000033194,16.0815420003928,2.529791998313158,1450240,1450240,524288,2900748
1,8,2,256,False,-6325516,22.729395500391547,0,2,8.323874999405234,11.980416000369587,2.706791001401143,1450240,1450240,524288,2900748
8,22,2,256,False,-6325516,60.765937499127176,0,2,22.288875001322594,35.14724999877217,2.61316700016323,1450240,1450240,524288,2900748
4,14,2,256,False,-6325516,41.93010399922059,0,2,14.805499999056337,22.903875000338303,2.612792000945774,1450240,1450240,524288,2900748
